year,ac_no,ac_name,district,winner,winner_party,runner_up,runner_party,winner_votes,runner_votes,margin_votes,winner_vote_share,runner_vote_share
2016,131,Natham,Dindigul,ANDI AMBALAM M.A,DMK_ALLIANCE,SHAJAHAN S,AIADMK_NDA,93822,91712,2110,45.32,44.3
2016,132,Dindigul,Dindigul,SREENIVASAN C,AIADMK_NDA,BASHEER AHAMED M,DMK_ALLIANCE,91413,70694,20719,49.3,38.13
2016,133,Vedasandur,Dindigul,PARAMASIVAM V.P.B,AIADMK_NDA,SIVASAKTHIVEL GOUNDER R,DMK_ALLIANCE,97555,77617,19938,49.13,39.09
2016,134,Aravakurichi,Karur,,AIADMK_NDA,,DMK_ALLIANCE,0,0,0,0.0,0.0
2016,135,Karur,Karur,VIJAYABHASKAR .M.R,AIADMK_NDA,SUBRAMANIAN .BANK .K,DMK_ALLIANCE,81936,81495,441,43.86,43.62
2016,136,Krishnarayapuram,Karur,GEETHA M.,AIADMK_NDA,AIYYAR V. K.,OTHERS,83977,48676,35301,49.82,28.88
2016,137,Kulithalai,Karur,RAMAR .E,DMK_ALLIANCE,CHANDRASEKARAN .R,AIADMK_NDA,89923,78027,11896,48.85,42.39
2016,138,Manapparai,Tiruchirappalli,CHANDRASEKAR R,AIADMK_NDA,MOHAMED NIZAM M A,DMK_ALLIANCE,91399,73122,18277,44.38,35.5
2016,139,Srirangam,Tiruchirappalli,VALARMATHI.S,AIADMK_NDA,PALANIYANDI.M,DMK_ALLIANCE,108400,93991,14409,48.09,41.7
2016,140,Tiruchirappalli West,Tiruchirappalli,NEHRU.K.N,DMK_ALLIANCE,MANOHARAN.R,AIADMK_NDA,92049,63634,28415,51.3,35.47
2016,141,Tiruchirappalli East,Tiruchirappalli,NATARAJAN .N.,AIADMK_NDA,JEROME AROCKIARAJ .G.,DMK_ALLIANCE,79938,58044,21894,47.87,34.76
2016,142,Thiruverumbur,Tiruchirappalli,ANBIL MAHESH POYYAMOZHI,DMK_ALLIANCE,KALAICHELVAN.D,AIADMK_NDA,85950,69255,16695,46.98,37.85
2016,143,Lalgudi,Tiruchirappalli,SOUNDARAPANDIAN A,DMK_ALLIANCE,VIJAYAMURTHY M,AIADMK_NDA,77946,74109,3837,46.8,44.5
2016,144,Manachanallur,Tiruchirappalli,PARAMESWARI. M,AIADMK_NDA,GANESAN. S,DMK_ALLIANCE,83083,75561,7522,46.17,41.99
2016,145,Musiri,Tiruchirappalli,SELVARASU M,AIADMK_NDA,VIJAYA BABU S,DMK_ALLIANCE,89398,57311,32087,52.31,33.53
2016,146,Thuraiyur,Tiruchirappalli,STALINKUMAR .S,DMK_ALLIANCE,MAIVIZHI .A,AIADMK_NDA,81444,73376,8068,48.1,43.33
2016,147,Perambalur,Perambalur,R.THAMIZHSELVAN,AIADMK_NDA,P.SIVAKAMI,DMK_ALLIANCE,101073,94220,6853,45.27,42.2
2016,148,Kunnam,Perambalur,RAMACHANDRAN.R.T,AIADMK_NDA,DURAIRAJ.T,DMK_ALLIANCE,78218,59422,18796,38.15,28.98
2016,149,Ariyalur,Ariyalur,RAJENDRAN. S,AIADMK_NDA,SIVASANKAR. S.S,DMK_ALLIANCE,88523,86480,2043,41.94,40.97
2016,150,Jayankondam,Ariyalur,RAMAJEYALINGAM.J.K.N,AIADMK_NDA,GURU @ GURUNATHAN.J,OTHERS,75672,52738,22934,37.09,25.85
2016,151,Tittakudi,Cuddalore,GANESAN V,DMK_ALLIANCE,AYYASAMY P,AIADMK_NDA,65139,62927,2212,40.67,39.29
2016,152,Vriddhachalam,Cuddalore,KALAISELVAN V T,AIADMK_NDA,GOVINDASAMY P,DMK_ALLIANCE,72611,58834,13777,39.22,31.78
2016,153,Neyveli,Cuddalore,SABA. RAJENDRAN,DMK_ALLIANCE,RAJSEKAR R,AIADMK_NDA,54299,36508,17791,34.1,22.93
2016,154,Panruti,Cuddalore,SATHYA.P,AIADMK_NDA,PONKUMAR,DMK_ALLIANCE,72353,69225,3128,39.01,37.33
2016,155,Cuddalore,Cuddalore,SAMPATH M C,AIADMK_NDA,PUGAZHENDI ELA,DMK_ALLIANCE,70922,46509,24413,41.07,26.93
2016,156,Kurinjipadi,Cuddalore,PANNEERSELVAM MRK,DMK_ALLIANCE,RAJENDRAN R,AIADMK_NDA,82864,54756,28108,44.03,29.09
2016,157,Bhuvanagiri,Cuddalore,SARAVANAN DURAI K.,DMK_ALLIANCE,SELVI RAMAJAYAM,AIADMK_NDA,60554,55066,5488,31.73,28.85
2016,158,Chidambaram,Cuddalore,PANDIAN K A,AIADMK_NDA,SENTHILKUMAR K R,DMK_ALLIANCE,58543,57037,1506,34.31,33.43
2016,159,Kattumannarkoil,Cuddalore,MURUGUMARAN.N,AIADMK_NDA,THIRUMAAVALAVAN.THOL,DMK_ALLIANCE,48450,48363,87,29.33,29.28
2016,160,Sirkazhi,Mayiladuthurai,BHARATHI.P.V,AIADMK_NDA,KILLAI RAVINDRAN.S,DMK_ALLIANCE,76487,67484,9003,43.05,37.98
2016,161,Mayiladuthurai,Mayiladuthurai,RATHAKRISHNAN.V,AIADMK_NDA,ANBAZHAGAN.K,DMK_ALLIANCE,70949,66171,4778,42.02,39.19
2016,162,Poompuhar,Mayiladuthurai,PAVUNRAJ.S,AIADMK_NDA,SHAJAHAN.A.M,DMK_ALLIANCE,87666,67731,19935,45.48,35.14
2016,163,Nagapattinam,Nagapattinam,THAMIMUN ANSARI.M,AIADMK_NDA,MOHAMED JAFARULLAH.A,OTHERS,64903,44353,20550,48.28,32.99
2016,164,Kilvelur,Nagapattinam,MATHIVANAN.U,DMK_ALLIANCE,MEENA.N,AIADMK_NDA,61999,51829,10170,44.95,37.58
2016,165,Vedaranyam,Nagapattinam,MANIAN.O.S,AIADMK_NDA,RAJENDIRAN.P.V,DMK_ALLIANCE,60836,37838,22998,41.44,25.77
