ac_no,ac_name,district,region_5way,reservation,is_reserved,winner_party_2016,winner_alliance_2016,runner_up_party_2016,runner_up_alliance_2016,winner_party_2021,winner_alliance_2021,runner_up_party_2021,runner_up_alliance_2021,winner_votes_2021,runner_up_votes_2021,total_valid_votes_2021,margin_pct_2021,vote_share_2021,proj_2026_dmk_alliance_pct,proj_2026_aiadmk_nda_pct,proj_2026_tvk_pct,proj_2026_ntk_pct,proj_2026_others_pct,proj_2026_winner,proj_2026_margin_pct
70,Gingee,Viluppuram,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.451074,0.360421,0.079962,0.057097,0.051447,DMK_ALLIANCE,0.090653
71,Mailam,Viluppuram,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,PMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.392878,0.452591,0.090286,0.036625,0.027619,AIADMK_NDA,0.059713
72,Tindivanam,Viluppuram,North,SC,1,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.375098,0.448879,0.101169,0.048908,0.025947,AIADMK_NDA,0.073781
73,Vanur,Viluppuram,North,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,VCK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.379016,0.458442,0.099188,0.027279,0.036075,AIADMK_NDA,0.079426
74,Viluppuram,Viluppuram,North,GEN,0,AIADMK,AIADMK_NDA,IUML,OTHERS,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.427716,0.37204,0.110546,0.043031,0.046667,DMK_ALLIANCE,0.055676
75,Vikravandi,Viluppuram,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.443054,0.371739,0.123805,0.030819,0.030584,DMK_ALLIANCE,0.071315
76,Tirukkoyilur,Viluppuram,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,BJP,AIADMK_NDA,0,0,0,0.0,0.0,0.468029,0.392671,0.072607,0.029713,0.036979,DMK_ALLIANCE,0.075358
77,Ulundurpettai,Kallakurichi,North,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.438117,0.373246,0.088038,0.06662,0.033979,DMK_ALLIANCE,0.064871
78,Rishivandiyam,Kallakurichi,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,0,0,0,0.0,0.0,0.472364,0.342952,0.104633,0.033389,0.046662,DMK_ALLIANCE,0.129412
79,Sankarapuram,Kallakurichi,North,GEN,0,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,0,0,0,0.0,0.0,0.434553,0.367091,0.097485,0.038374,0.062497,DMK_ALLIANCE,0.067462
80,Kallakurichi,Kallakurichi,North,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,0.0,0.0,0.370377,0.446334,0.086616,0.041261,0.055412,AIADMK_NDA,0.075957
81,Gangavalli,Salem,West,SC,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.416843,0.445191,0.078835,0.025123,0.034008,AIADMK_NDA,0.028348
82,Attur,Salem,West,SC,1,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.375674,0.415944,0.112456,0.056727,0.039199,AIADMK_NDA,0.04027
83,Yercaud,Salem,West,ST,1,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.355655,0.452581,0.100597,0.055624,0.035542,AIADMK_NDA,0.096926
84,Omalur,Salem,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,0,0,0,0.0,0.0,0.363251,0.444453,0.107353,0.046086,0.038858,AIADMK_NDA,0.081202
85,Mettur,Salem,West,GEN,0,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,PMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.373751,0.480878,0.085543,0.006904,0.052923,AIADMK_NDA,0.107127
86,Edappadi,Salem,West,GEN,0,AIADMK,AIADMK_NDA,PMK,AIADMK_NDA,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.368204,0.453533,0.087797,0.04145,0.049017,AIADMK_NDA,0.085329
87,Sankari,Salem,West,GEN,0,AIADMK,AIADMK_NDA,INC,DMK_ALLIANCE,AIADMK,AIADMK_NDA,DMK,DMK_ALLIANCE,0,0,0,0.0,0.0,0.352391,0.439533,0.11252,0.036643,0.058913,AIADMK_NDA,0.087142
